No	Label	FASTQ_URI
336	E6.5_c68	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147657/ERR1147657.fastq.gz
337	E6.5_c69	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147658/ERR1147658.fastq.gz
338	E6.5_c70	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147659/ERR1147659.fastq.gz
339	E6.5_c71	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147660/ERR1147660.fastq.gz
340	E6.5_c72	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147661/ERR1147661.fastq.gz
341	E6.5_c73	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147662/ERR1147662.fastq.gz
342	E6.5_c74	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147663/ERR1147663.fastq.gz
343	E6.5_c75	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147664/ERR1147664.fastq.gz
344	E6.5_c76	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147665/ERR1147665.fastq.gz
345	E6.5_c77	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147666/ERR1147666.fastq.gz
346	E6.5_c78	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147667/ERR1147667.fastq.gz
347	E6.5_c79	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147668/ERR1147668.fastq.gz
348	E6.5_c80	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147669/ERR1147669.fastq.gz
349	E6.5_c81	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147670/ERR1147670.fastq.gz
350	E6.5_c82	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147671/ERR1147671.fastq.gz
351	E6.5_c83	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147672/ERR1147672.fastq.gz
352	E6.5_c84	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147673/ERR1147673.fastq.gz
353	E6.5_c85	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147674/ERR1147674.fastq.gz
354	E6.5_c86	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147675/ERR1147675.fastq.gz
355	E6.5_c87	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147676/ERR1147676.fastq.gz
356	E6.5_c88	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147677/ERR1147677.fastq.gz
357	E6.5_c89	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147678/ERR1147678.fastq.gz
358	E6.5_c90	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147679/ERR1147679.fastq.gz
359	E6.5_c91	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147680/ERR1147680.fastq.gz
360	E6.5_c92	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147681/ERR1147681.fastq.gz
361	E6.5_c93	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147682/ERR1147682.fastq.gz
362	E6.5_c94	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147683/ERR1147683.fastq.gz
363	E6.5_c95	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147684/ERR1147684.fastq.gz
364	E6.5_c96	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147685/ERR1147685.fastq.gz
365	E6.5_c97	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147686/ERR1147686.fastq.gz
366	E6.5_c98	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147687/ERR1147687.fastq.gz
367	E6.5_c99	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147688/ERR1147688.fastq.gz
368	E6.5_c100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147689/ERR1147689.fastq.gz
766	E7.75_c51	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1148087/ERR1148087.fastq.gz
767	E7.75_c52	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1148088/ERR1148088.fastq.gz
768	E7.75_c53	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1148089/ERR1148089.fastq.gz
769	E7.75_c54	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1148090/ERR1148090.fastq.gz
770	E7.75_c55	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1148091/ERR1148091.fastq.gz
771	E7.75_c56	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1148092/ERR1148092.fastq.gz
772	E7.75_c57	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1148093/ERR1148093.fastq.gz
773	E7.75_c58	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1148094/ERR1148094.fastq.gz
774	E7.75_c59	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1148095/ERR1148095.fastq.gz
775	E7.75_c60	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1148096/ERR1148096.fastq.gz
776	E7.75_c61	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1148097/ERR1148097.fastq.gz
777	E7.75_c62	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1148098/ERR1148098.fastq.gz
778	E7.75_c63	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1148099/ERR1148099.fastq.gz
779	E7.75_c64	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1148100/ERR1148100.fastq.gz
780	E7.75_c65	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1148101/ERR1148101.fastq.gz
781	E7.75_c66	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1148102/ERR1148102.fastq.gz
782	E7.75_c67	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1148103/ERR1148103.fastq.gz
783	E7.75_c68	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1148104/ERR1148104.fastq.gz
784	E7.75_c69	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1148105/ERR1148105.fastq.gz
785	E7.75_c70	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1148106/ERR1148106.fastq.gz
786	E7.75_c71	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1148107/ERR1148107.fastq.gz
787	E7.75_c72	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1148108/ERR1148108.fastq.gz
788	E7.75_c73	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1148109/ERR1148109.fastq.gz
789	E7.75_c74	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1148110/ERR1148110.fastq.gz
790	E7.75_c75	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1148111/ERR1148111.fastq.gz
791	E7.75_c76	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1148112/ERR1148112.fastq.gz
792	E7.75_c77	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1148113/ERR1148113.fastq.gz
793	E7.75_c78	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1148114/ERR1148114.fastq.gz
794	E7.75_c79	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1148115/ERR1148115.fastq.gz
795	E7.75_c80	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1148116/ERR1148116.fastq.gz
796	E7.75_c81	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1148117/ERR1148117.fastq.gz
797	E7.75_c82	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1148118/ERR1148118.fastq.gz
798	E7.75_c83	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1148119/ERR1148119.fastq.gz
799	E7.75_c84	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1148120/ERR1148120.fastq.gz
800	E7.75_c85	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1148121/ERR1148121.fastq.gz
